CO2_mean,O1_airHeatEl,O1_airHeatWater,O1_cavityInsulation,O1_centralCooling,O1_exhaust,O1_exhaustSupply,O1_exhaustSupplyHeat,O1_extWallBrick,O1_extWallConcrete,O1_extWallWood,O1_exteriorInsulation,O1_facadeAsbest,O1_facadeBrick,O1_facadeConcrete,O1_facadeWood,O1_floorHeat,O1_individualCooling,O1_insulationOther,O1_intWallBrick,O1_intWallConcrete,O1_intWallGypsum,O1_intWallWood,O1_interiorInsulation,O1_natVentAut,O1_natVentman,O1_noCooling,O1_radiators,O1rur_agr,O1rur_com,O1rur_ind,O1rur_nurb,O1suburb_com,O1suburb_indus,O1suburb_res,O1urb_com,O1urb_indus,O1urb_res,O2_ceilingBoards,O2_ceilingConcrete,O2_ceilingFabric,O2_ceilingMetal,O2_ceilingWoodPanels,O2_constructionActivities,O2_crackWinPaint,O2_desklight,O2_emergencyGenerators,O2_fabric,O2_floorCarpet,O2_floorConcrete,O2_floorPlastic,O2_floorWood,O2_garbageDumpsters,O2_heavyTraffic,O2_lightFlour,O2_lightIncan,O2_lightLED,O2_metal,O2_noOutdoorContSources,O2_noSpaceHeatersInUse,O2_officeType,O2_opWin,O2_otherArt,O2_otherCeiling,O2_otherCeilingComment,O2_otherGreenPlants,O2_otherLounge,O2_otherOther,O2_otherWallColor,O2_otherWallCov,O2_otherWallCovComment,O2_otherWaterEl,O2_paintWallboard,O2_powerPlants,O2_smokeStack,O2_suspendedCeiling,O2_suspendedCeilingComment,O2_ventFancoil,O2_ventFloorDif,O2_ventFloorReg,O2_ventLinCeilDif,O2_ventLowFloorGrill,O2_ventLuminaires,O2_ventNoReturn,O2_ventNoSupply,O2_ventOther,O2_ventPerfCeiling,O2_ventReturnCeilGrill,O2_ventReturnCeilSlot,O2_ventReturnFloorGrill,O2_ventReturnOther,O2_ventReturnSideGrill,O2_ventReturnSlotsLum,O2_ventRoundDif,O2_ventSideWallDif,O2_ventWallGrill,O2_viewGreenNature,O2_viewOtherBuildings,O2_viewRoadParking,O2_wallpaper,O2_winShadePercentage,O2_winShades,O2_windowOrientation,O2_woodPanels,O3_deskWash,O3_envMat,O3_floorMope,O3_floorVacuum,O3_winWash,OO_buildingID,OO_buildingTypology,RH_mean,T_mean,buildingID,light_mean,location,officeID,sound_mean,building,sex,age,job,contacts,smoker,distToWindow,windowOrientation,officeInterior,personsInOffice,hoursatdesk,photocopier,outside,perfume,food,tobaccoSmoke,printer,carpet,cleaningProd,noiseTraffic,noiseOverhearing,noiseOfficeEquipment,noiseTelephones,noisePhoneTalk,noiseNeighborTalk,noisemechanical,lightTooDark,lightTooBright,lightTooLittleDaylight,lightTooMuchDaylight,lightFlicker,lightReflections,lightColor,lightNoTask,symptabilitywork,symptstayhome,performanceOverall,indoorClimate,month,s0_better,s1_better,s3_better,s7_better,SBS1,SBS2,Window Area,Office volume,Construction year,Number of supply devices,area_det_floor,Renovation Year
741.3720472440945,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,none,False,False,True,False,False,False,False,True,True,False,False,False,False,0.0,shared,50.0,False,False,,True,False,False,False,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,100.0,I think and ext,East,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103_E2021,5,47.734251968503926,24.232480314960583,103_E2021,179.90551181102362,Denmark,103_E2021c,45.30905511811024,103_E2021,Male,_50-60,Administrative,Glasses,former,0-2,north,shared,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,2.0,2.0,10,0,0,0,1,1,1,4.4,55.0,1972.0,0.0,0.0,noRenovation
772.4708171206225,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,>50%,False,False,True,False,False,False,False,True,True,False,False,False,False,12.0,openNoPartitions,50.0,True,False,,True,False,False,False,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,100.0,Int + ext,West,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103_E2021,5,46.82548638132293,24.702529182879413,103_E2021,322.6459143968872,Denmark,103_E2021a,43.78015564202335,103_E2021,Female,_>60,Administrative,Glasses,former,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,10,0,0,0,0,0,0,11.5,225.0,1972.0,0.0,0.0,noRenovation
772.4708171206225,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,>50%,False,False,True,False,False,False,False,True,True,False,False,False,False,12.0,openNoPartitions,50.0,True,False,,True,False,False,False,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,100.0,Int + ext,West,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103_E2021,5,46.82548638132293,24.702529182879413,103_E2021,322.6459143968872,Denmark,103_E2021a,43.78015564202335,103_E2021,Female,_50-60,Administrative,Glasses,former,0-2,---,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,10,0,0,0,0,0,0,11.5,225.0,1972.0,0.0,0.0,noRenovation
741.3720472440945,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,none,False,False,True,False,False,False,False,True,True,False,False,False,False,0.0,shared,50.0,False,False,,True,False,False,False,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,100.0,I think and ext,East,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103_E2021,5,47.734251968503926,24.232480314960583,103_E2021,179.90551181102362,Denmark,103_E2021c,45.30905511811024,103_E2021,Female,_50-60,Administrative,Contacts,former,0-2,east,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,11,0,0,0,0,0,0,4.4,55.0,1972.0,0.0,0.0,noRenovation
773.1796296296296,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,none,False,False,True,False,False,False,False,True,True,False,False,False,False,6.0,shared,50.0,False,False,,True,True,False,False,False,,False,True,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,100.0,Film + curtains,East,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,23.004902867715096,24.8208140610546,103,191.2710453283996,Denmark,103b,43.57354301572618,103,Female,_40-49,Administrative,Glasses,never,0-2,east,withoutPartitions,4-5,>5,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,,False,_0,_0,5.0,3.0,3,0,0,0,0,0,0,10.2,110.0,1972.0,0.0,0.0,noRenovation
700.9924599434496,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,<50%,False,False,True,False,False,False,False,True,True,False,False,False,False,12.0,openNoPartitions,50.0,True,False,,True,False,False,True,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,100.0,Sagdes. int + ext,West,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,21.470660901791184,25.22600370599137,103,317.86164298949967,Denmark,103a,38.99135268684373,103,Female,_50-60,Administrative,Contacts,never,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,3,0,0,0,0,0,0,11.5,225.5,1972.0,0.0,0.0,noRenovation
700.9924599434496,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,<50%,False,False,True,False,False,False,False,True,True,False,False,False,False,12.0,openNoPartitions,50.0,True,False,,True,False,False,True,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,100.0,Sagdes. int + ext,West,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,21.470660901791184,25.22600370599137,103,317.86164298949967,Denmark,103a,38.99135268684373,103,Female,_40-49,Administrative,None,former,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,,,,3,0,0,0,0,0,0,11.5,225.5,1972.0,0.0,0.0,noRenovation
700.9924599434496,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,<50%,False,False,True,False,False,False,False,True,True,False,False,False,False,12.0,openNoPartitions,50.0,True,False,,True,False,False,True,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,100.0,Sagdes. int + ext,West,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,21.470660901791184,25.22600370599137,103,317.86164298949967,Denmark,103a,38.99135268684373,103,Female,_>60,Administrative,Glasses,former,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,3,0,0,0,0,0,0,11.5,225.5,1972.0,0.0,0.0,noRenovation
625.91280148423,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,little,none,False,False,True,False,False,False,False,True,True,False,False,False,False,0.0,,75.0,False,False,,True,False,False,False,False,,False,False,False,False,True,Acoustic suspended ceiling,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0,,Northwest,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,22.21221091581871,24.966882516188715,103,206.31822386679,Denmark,103c,43.12118408880666,103,Female,_50-60,Administrative,Contacts,former,2-4,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,----,_0,3.0,2.0,3,0,0,0,0,0,0,7.6,91.92500000000001,1972.0,0.0,0.0,noRenovation
700.9924599434496,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,no,<50%,False,False,True,False,False,False,False,True,True,False,False,False,False,12.0,openNoPartitions,50.0,True,False,,True,False,False,True,False,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,100.0,Sagdes. int + ext,West,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,21.470660901791184,25.22600370599137,103,317.86164298949967,Denmark,103a,38.99135268684373,103,Male,_50-60,Administrative,Glasses,never,0-2,southwest,single,,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,6.0,5.0,3,0,0,0,0,0,0,11.5,225.5,1972.0,0.0,0.0,noRenovation
